judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
Dinas Ketahanan Pangan Provinsi Gorontalo Gelar Hari,2024-10-16,https://berita.gorontaloprov.go.id/2024/10/16/dinas-ketahanan-pangan-provinsi-gorontalo-gelar-hari-pangan-sedunia/,Dinas Ketahanan Pangan Provinsi Gorontalo Gelar Hari,dinas ketahanan pangan provinsi gorontalo gelar hari,"['dinas', 'ketahanan', 'pangan', 'provinsi', 'gorontalo', 'gelar', 'hari']","['dinas', 'ketahanan', 'pangan', 'provinsi', 'gorontalo', 'gelar']","['dinas', 'ketahanan', 'pangan', 'provinsi', 'gorontalo', 'gelar']",dinas ketahanan pangan provinsi gorontalo gelar,Gorontalo Provincial Food Security Office Holds
"Gelar Capacity Building, TPID Gorontalo Belajar Kiat",2024-10-16,https://berita.gorontaloprov.go.id/2024/10/16/gelar-capacity-building-tpid-gorontalo-belajar-kiat-sukses-tpid-jakarta/,Gelar Capacity Building  TPID Gorontalo Belajar Kiat,gelar capacity building  tpid gorontalo belajar kiat,"['gelar', 'capacity', 'building', 'tpid', 'gorontalo', 'belajar', 'kiat']","['gelar', 'capacity', 'building', 'tpid', 'gorontalo', 'belajar', 'kiat']","['gelar', 'capacity', 'building', 'tpid', 'gorontalo', 'belajar', 'kiat']",gelar capacity building tpid gorontalo belajar kiat,Gorontalo TPID Capacity Building Degree Learning Tips for Tips
Plt. Asisten III Gorontalo Buka Kegiatan Korbinwas,2024-10-16,https://berita.gorontaloprov.go.id/2024/10/16/plt-asisten-iii-gorontalo-buka-kegiatan-korbinwas-pelaporan-e-spm/,Plt  Asisten II Gorontalo Buka Kegiatan Korbinwas,plt  asisten ii gorontalo buka kegiatan korbinwas,"['plt', 'asisten', 'ii', 'gorontalo', 'buka', 'kegiatan', 'korbinwas']","['plt', 'asisten', 'ii', 'gorontalo', 'buka', 'kegiatan', 'korbinwas']","['plt', 'asisten', 'ii', 'gorontalo', 'buka', 'kegiatan', 'korbinwas']",plt asisten ii gorontalo buka kegiatan korbinwas,Acting Assistant II Gorontalo Opens Korbinwas Activities
"Demi Berantas Pungli, DPR RI Desak Sidak Rutin di Rutan KPK",2024-10-16,https://www.hulondalo.id/news/96413750003/demi-berantas-pungli-dpr-ri-desak-sidak-rutin-di-rutan-kpk,Demi Berantas Pungli  DPR RI Desak Sidak Rutin di Rutan KPK,demi berantas pungli  dpr ri desak sidak rutin di rutan kpk,"['demi', 'berantas', 'pungli', 'dpr', 'ri', 'desak', 'sidak', 'rutin', 'di', 'rutan', 'kpk']","['berantas', 'pungli', 'dpr', 'ri', 'desak', 'sidak', 'rutin', 'rutan', 'kpk']","['berantas', 'pungli', 'dpr', 'ri', 'desak', 'sidak', 'rutin', 'rutan', 'kpk']",berantas pungli dpr ri desak sidak rutin rutan kpk,Eradication of the House of Representatives Extortion Urges the Routine Inspection of the KPK Detention Center
"Meskipun Telah Disahkan, DPR Sebut Prabowo Punya Peluang Ubah APBN 2025",2024-10-16,https://www.hulondalo.id/news/96413749782/meskipun-telah-disahkan-dpr-sebut-prabowo-punya-peluang-ubah-apbn-2025,Meskipun Telah Disahkan  DPR Sebut Prabowo Punya Peluang Ubah APBN ,meskipun telah disahkan  dpr sebut prabowo punya peluang ubah apbn ,"['meskipun', 'telah', 'disahkan', 'dpr', 'sebut', 'prabowo', 'punya', 'peluang', 'ubah', 'apbn']","['disahkan', 'dpr', 'prabowo', 'peluang', 'ubah', 'apbn']","['disahkan', 'dpr', 'prabowo', 'peluang', 'ubah', 'apbn']",disahkan dpr prabowo peluang ubah apbn,passed by DPR Prabowo the opportunity to change the APBN
"Indonesia di Tangan Prabowo, Ini Ulasan Majalah Time Amerika Serikat",2024-10-16,https://www.hulondalo.id/news/96413749641/indonesia-di-tangan-prabowo-ini-ulasan-majalah-time-amerika-serikat,Indonesia di Tangan Prabowo  Ini Ulasan Majalah Time Amerika Serikat,indonesia di tangan prabowo  ini ulasan majalah time amerika serikat,"['indonesia', 'di', 'tangan', 'prabowo', 'ini', 'ulasan', 'majalah', 'time', 'amerika', 'serikat']","['indonesia', 'tangan', 'prabowo', 'ulasan', 'majalah', 'time', 'amerika', 'serikat']","['indonesia', 'tangan', 'prabowo', 'ulasan', 'majalah', 'time', 'amerika', 'serikat']",indonesia tangan prabowo ulasan majalah time amerika serikat,Indonesia Prabowo's hand reviews of the United States Time Magazine
"Dari Lawan Jadi Kawan, Media Asing Times Asal Amerika Ulas Jalinan Persahabatan Prabowo dan Jokowi",2024-10-16,https://www.hulondalo.id/news/96413749611/dari-lawan-jadi-kawan-media-asing-times-asal-amerika-ulas-jalinan-persahabatan-prabowo-dan-jokowi,Dari Lawan Jadi Kawan  Media Asing Times Asal Amerika Ulas Jalinan Persahabatan Prabowo dan Jokowi,dari lawan jadi kawan  media asing times asal amerika ulas jalinan persahabatan prabowo dan jokowi,"['dari', 'lawan', 'jadi', 'kawan', 'media', 'asing', 'times', 'asal', 'amerika', 'ulas', 'jalinan', 'persahabatan', 'prabowo', 'dan', 'jokowi']","['lawan', 'kawan', 'media', 'asing', 'times', 'amerika', 'ulas', 'jalinan', 'persahabatan', 'prabowo', 'jokowi']","['lawan', 'kawan', 'medium', 'asing', 'time', 'amerika', 'ulas', 'jalinan', 'persahabatan', 'prabowo', 'jokowi']",lawan kawan medium asing time amerika ulas jalinan persahabatan prabowo jokowi,opponents of Foreign Medium Friends Time America review Prabowo Jokowi's friendship
"Berhasil Ciptakan Ekosistem Komunikasi, Kementerian ATR/BPN Terima Penghargaan Pelayanan dan Komunikasi Publik dari iNews TV",2024-10-16,https://www.hulondalo.id/news/96413749424/berhasil-ciptakan-ekosistem-komunikasi-kementerian-atrbpn-terima-penghargaan-pelayanan-dan-komunikasi-publik-dari-inews-tv,Berhasil Ciptakan Ekosistem Komunikasi  Kementerian ATR BPN Terima Penghargaan Pelayanan dan Komunikasi Publik dari iNews TV,berhasil ciptakan ekosistem komunikasi  kementerian atr bpn terima penghargaan pelayanan dan komunikasi publik dari inews tv,"['berhasil', 'ciptakan', 'ekosistem', 'komunikasi', 'kementerian', 'atr', 'bpn', 'terima', 'penghargaan', 'pelayanan', 'dan', 'komunikasi', 'publik', 'dari', 'inews', 'tv']","['berhasil', 'ciptakan', 'ekosistem', 'komunikasi', 'kementerian', 'atr', 'bpn', 'terima', 'penghargaan', 'pelayanan', 'komunikasi', 'publik', 'inews', 'tv']","['berhasil', 'ciptakan', 'ekosistem', 'komunikasi', 'kementerian', 'atr', 'bpn', 'terima', 'penghargaan', 'pelayanan', 'komunikasi', 'publik', 'inews', 'tv']",berhasil ciptakan ekosistem komunikasi kementerian atr bpn terima penghargaan pelayanan komunikasi publik inews tv,Successfully Create a Communication Ecosystem of the Ministry of BPN Receive awards for Public Communication Services iNews TV
"Survei Indikator Pilkada Bone Bolango: IRIS 31,1%, Paslon Lain Jauh Lebih Rendah",2024-10-16,https://www.hulondalo.id/politik/96413749414/survei-indikator-pilkada-bone-bolango-iris-311-paslon-lain-jauh-lebih-rendah,Survei Indikator Pilkada Bone Bolango  IRIS     Paslon Lain Jauh Lebih Rendah,survei indikator pilkada bone bolango  iris     paslon lain jauh lebih rendah,"['survei', 'indikator', 'pilkada', 'bone', 'bolango', 'iris', 'paslon', 'lain', 'jauh', 'lebih', 'rendah']","['survei', 'indikator', 'pilkada', 'bone', 'bolango', 'iris', 'paslon', 'rendah']","['survei', 'indikator', 'pilkada', 'bone', 'bolango', 'iris', 'paslon', 'rendah']",survei indikator pilkada bone bolango iris paslon rendah,Bone Bolango Iris Paslon Paslon Pilkada Indicator Survey
"Di Penghujung Pemerintahan Presiden Joko Widodo, Menteri AHY Kembali Gebuk Mafia Tanah di Jawa Barat",2024-10-16,https://www.hulondalo.id/news/96413749378/di-penghujung-pemerintahan-presiden-joko-widodo-menteri-ahy-kembali-gebuk-mafia-tanah-di-jawa-barat,Di Penghujung Pemerintahan Presiden Joko Widodo  Menteri AHY Kembali Gebuk Mafia Tanah di Jawa Barat,di penghujung pemerintahan presiden joko widodo  menteri ahy kembali gebuk mafia tanah di jawa barat,"['di', 'penghujung', 'pemerintahan', 'presiden', 'joko', 'widodo', 'menteri', 'ahy', 'kembali', 'gebuk', 'mafia', 'tanah', 'di', 'jawa', 'barat']","['penghujung', 'pemerintahan', 'presiden', 'joko', 'widodo', 'menteri', 'ahy', 'gebuk', 'mafia', 'tanah', 'jawa', 'barat']","['penghujung', 'pemerintahan', 'presiden', 'joko', 'widodo', 'menteri', 'ahy', 'gebuk', 'mafia', 'tanah', 'jawa', 'barat']",penghujung pemerintahan presiden joko widodo menteri ahy gebuk mafia tanah jawa barat,End of President Joko Widodo's administration Minister AHY Gebuk Mafia Land of West Java
"Menteri AHY Ungkap Dua Kasus Tindak Pidana Pertanahan di Kabupaten Bekasi, Selamatkan Potensi Kerugian hingga Rp183 Miliar",2024-10-16,https://www.hulondalo.id/news/96413749315/menteri-ahy-ungkap-dua-kasus-tindak-pidana-pertanahan-di-kabupaten-bekasi-selamatkan-potensi-kerugian-hingga-rp183-miliar,Menteri AHY Ungkap Dua Kasus Tindak Pidana Pertanahan di Kabupaten Bekasi  Selamatkan Potensi Kerugian hingga Rp Miliar,menteri ahy ungkap dua kasus tindak pidana pertanahan di kabupaten bekasi  selamatkan potensi kerugian hingga rp miliar,"['menteri', 'ahy', 'ungkap', 'dua', 'kasus', 'tindak', 'pidana', 'pertanahan', 'di', 'kabupaten', 'bekasi', 'selamatkan', 'potensi', 'kerugian', 'hingga', 'rp', 'miliar']","['menteri', 'ahy', 'tindak', 'pidana', 'pertanahan', 'kabupaten', 'bekasi', 'selamatkan', 'potensi', 'kerugian', 'rp', 'miliar']","['menteri', 'ahy', 'tindak', 'pidana', 'pertanahan', 'kabupaten', 'bekasi', 'selamatkan', 'potensi', 'kerugian', 'rp', 'miliar']",menteri ahy tindak pidana pertanahan kabupaten bekasi selamatkan potensi kerugian rp miliar,Minister AHY Land Criminal Acts Bekasi Regency Save the potential loss of Rp billion
"Pembagian Sesi Pelaksanaan SKD CPNS 2024, Jangan Sampai Salah!",2024-10-16,https://www.hulondalo.id/news/96413749156/pembagian-sesi-pelaksanaan-skd-cpns-2024-jangan-sampai-salah,Pembagian Sesi Pelaksanaan SKD CPNS   Jangan Sampai Salah ,pembagian sesi pelaksanaan skd cpns   jangan sampai salah ,"['pembagian', 'sesi', 'pelaksanaan', 'skd', 'cpns', 'jangan', 'sampai', 'salah']","['pembagian', 'sesi', 'pelaksanaan', 'skd', 'cpns', 'salah']","['pembagian', 'sesi', 'pelaksanaan', 'skd', 'cpns', 'salah']",pembagian sesi pelaksanaan skd cpns salah,distribution of sessions for the implementation of SKD CPNS is wrong
Komitmen BRI dalam Transformasi Human Capital Berbuah Penghargaan IHCA 2024,2024-10-16,https://www.hulondalo.id/news/96413748973/komitmen-bri-dalam-transformasi-human-capital-berbuah-penghargaan-ihca-2024,Komitmen BRI dalam Transformasi Human Capital Berbuah Penghargaan IHCA ,komitmen bri dalam transformasi human capital berbuah penghargaan ihca ,"['komitmen', 'bri', 'dalam', 'transformasi', 'human', 'capital', 'berbuah', 'penghargaan', 'ihca']","['komitmen', 'bri', 'transformasi', 'human', 'capital', 'berbuah', 'penghargaan', 'ihca']","['komitmen', 'bri', 'transformasi', 'human', 'capital', 'berbuah', 'penghargaan', 'ihca']",komitmen bri transformasi human capital berbuah penghargaan ihca,BRI Commitment Transformation of Human Capital Bersear IHCA awards
Studium Generale UBM Gorontalo dan Kemlu RI Hadirkan Dua Diplomat Ahli Madya,2024-10-15,https://www.hulondalo.id/edukasi/96413743899/studium-generale-ubm-gorontalo-dan-kemlu-ri-hadirkan-dua-diplomat-ahli-madya,Studium Generale UBM Gorontalo dan Kemlu RI Hadirkan Dua Diplomat Ahli Madya,studium generale ubm gorontalo dan kemlu ri hadirkan dua diplomat ahli madya,"['studium', 'generale', 'ubm', 'gorontalo', 'dan', 'kemlu', 'ri', 'hadirkan', 'dua', 'diplomat', 'ahli', 'madya']","['studium', 'generale', 'ubm', 'gorontalo', 'kemlu', 'ri', 'hadirkan', 'diplomat', 'ahli', 'madya']","['studium', 'generale', 'ubm', 'gorontalo', 'kemlu', 'ri', 'hadirkan', 'diplomat', 'ahli', 'madya']",studium generale ubm gorontalo kemlu ri hadirkan diplomat ahli madya,Studium Generale UBM Gorontalo Ministry of Foreign Affairs Indonesian Diplomat Diplomat Associate
Pencapaian Terbaru PT BEI: Investor Pasar Modal Tembus 14 Juta,2024-10-15,https://www.hulondalo.id/ekbis/96413743503/pencapaian-terbaru-pt-bei-investor-pasar-modal-tembus-14-juta,Pencapaian Terbaru PT BEI  Investor Pasar Modal Tembus  Juta,pencapaian terbaru pt bei  investor pasar modal tembus  juta,"['pencapaian', 'terbaru', 'pt', 'bei', 'investor', 'pasar', 'modal', 'tembus', 'juta']","['pencapaian', 'terbaru', 'pt', 'bei', 'investor', 'pasar', 'modal', 'tembus', 'juta']","['pencapaian', 'terbaru', 'pt', 'bei', 'investor', 'pasar', 'modal', 'tembus', 'juta']",pencapaian terbaru pt bei investor pasar modal tembus juta,the latest achievements of PT Bei Investor Capital Market Translucent Million
"Jangan Pakai Obat Penggemuk, Ini Cara Menambah Berat Badan Alami pada Anak Menurut Ahli",2024-10-15,https://www.hulondalo.id/kesehatan/96413743253/jangan-pakai-obat-penggemuk-ini-cara-menambah-berat-badan-alami-pada-anak-menurut-ahli,Jangan Pakai Obat Penggemuk  Ini Cara Menambah Berat Badan Alami pada Anak Menurut Ahli,jangan pakai obat penggemuk  ini cara menambah berat badan alami pada anak menurut ahli,"['jangan', 'pakai', 'obat', 'penggemuk', 'ini', 'cara', 'menambah', 'berat', 'badan', 'alami', 'pada', 'anak', 'menurut', 'ahli']","['pakai', 'obat', 'penggemuk', 'menambah', 'berat', 'badan', 'alami', 'anak', 'ahli']","['pakai', 'obat', 'penggemuk', 'menambah', 'berat', 'badan', 'alami', 'anak', 'ahli']",pakai obat penggemuk menambah berat badan alami anak ahli,using fattening drugs adds to the natural weight of an expert child
"Viral! Selama Satu Tahun, Balita di Surabaya Dicekoki Obat Penggemuk oleh Babysitter",2024-10-15,https://www.hulondalo.id/viral/96413743148/viral-selama-satu-tahun-balita-di-surabaya-dicekoki-obat-penggemuk-oleh-babysitter,Viral  Selama Satu Tahun  Balita di Surabaya Dicekoki Obat Penggemuk oleh Babysitter,viral  selama satu tahun  balita di surabaya dicekoki obat penggemuk oleh babysitter,"['viral', 'selama', 'satu', 'tahun', 'balita', 'di', 'surabaya', 'dicekoki', 'obat', 'penggemuk', 'oleh', 'babysitter']","['viral', 'balita', 'surabaya', 'dicekoki', 'obat', 'penggemuk', 'babysitter']","['viral', 'balita', 'surabaya', 'dicekoki', 'obat', 'penggemuk', 'babysitter']",viral balita surabaya dicekoki obat penggemuk babysitter,Viral Toddler Surabaya is fed
"Alasan Klasik Israel dan Syarat Netanyahu Soal Gencatan Senjata, Benarkan Bisa Akhiri Derita di Gaza?",2024-10-15,https://www.hulondalo.id/news/96413743097/alasan-klasik-israel-dan-syarat-netanyahu-soal-gencatan-senjata-benarkan-bisa-akhiri-derita-di-gaza,Alasan Klasik Israel dan Syarat Netanyahu Soal Gencatan Senjata  Benarkan Bisa Akhiri Derita di Gaza ,alasan klasik israel dan syarat netanyahu soal gencatan senjata  benarkan bisa akhiri derita di gaza ,"['alasan', 'klasik', 'israel', 'dan', 'syarat', 'netanyahu', 'soal', 'gencatan', 'senjata', 'benarkan', 'bisa', 'akhiri', 'derita', 'di', 'gaza']","['alasan', 'klasik', 'israel', 'syarat', 'netanyahu', 'gencatan', 'senjata', 'benarkan', 'derita', 'gaza']","['alasan', 'klasik', 'israel', 'syarat', 'netanyahu', 'gencatan', 'senjata', 'benarkan', 'derita', 'gaza']",alasan klasik israel syarat netanyahu gencatan senjata benarkan derita gaza,the classic reason for Israel Netanyahu Cemetery Terms
"Komplotan Pencuri Modul BTS Ditangkap, Kerugian Capai Ratusan Miliar",2024-10-15,https://www.hulondalo.id/news/96413743003/komplotan-pencuri-modul-bts-ditangkap-kerugian-capai-ratusan-miliar,Komplotan Pencuri Modul BTS Ditangkap  Kerugian Capai Ratusan Miliar,komplotan pencuri modul bts ditangkap  kerugian capai ratusan miliar,"['komplotan', 'pencuri', 'modul', 'bts', 'ditangkap', 'kerugian', 'capai', 'ratusan', 'miliar']","['komplotan', 'pencuri', 'modul', 'bts', 'ditangkap', 'kerugian', 'capai', 'ratusan', 'miliar']","['komplotan', 'pencuri', 'modul', 'bts', 'ditangkap', 'kerugian', 'capai', 'ratusan', 'miliar']",komplotan pencuri modul bts ditangkap kerugian capai ratusan miliar,BTS Module Thief Module Caught Losses Reaches Hundreds of Billion
"Baru 4 Bulan Bebas, Pria Ini Kembali Ditangkap karena Curi Motor di Jakarta Pusat",2024-10-15,https://www.hulondalo.id/news/96413742900/baru-4-bulan-bebas-pria-ini-kembali-ditangkap-karena-curi-motor-di-jakarta-pusat,Baru  Bulan Bebas  Pria Ini Kembali Ditangkap karena Curi Motor di Jakarta Pusat,baru  bulan bebas  pria ini kembali ditangkap karena curi motor di jakarta pusat,"['baru', 'bulan', 'bebas', 'pria', 'ini', 'kembali', 'ditangkap', 'karena', 'curi', 'motor', 'di', 'jakarta', 'pusat']","['bebas', 'pria', 'ditangkap', 'curi', 'motor', 'jakarta', 'pusat']","['bebas', 'pria', 'ditangkap', 'curi', 'motor', 'jakarta', 'pusat']",bebas pria ditangkap curi motor jakarta pusat,"Free Men Arrested Stealing Motor Jakarta, Central Jakarta"
"Kemenparekraf Luncurkan TIC Digital Nusantara, Permudah Akses Informasi Wisata",2024-10-15,https://www.hulondalo.id/gayahidup/96413742810/kemenparekraf-luncurkan-tic-digital-nusantara-permudah-akses-informasi-wisata,Kemenparekraf Luncurkan TIC Digital Nusantara  Permudah Akses Informasi Wisata,kemenparekraf luncurkan tic digital nusantara  permudah akses informasi wisata,"['kemenparekraf', 'luncurkan', 'tic', 'digital', 'nusantara', 'permudah', 'akses', 'informasi', 'wisata']","['kemenparekraf', 'luncurkan', 'tic', 'digital', 'nusantara', 'permudah', 'akses', 'informasi', 'wisata']","['kemenparekraf', 'luncurkan', 'tic', 'digital', 'nusantara', 'permudah', 'akses', 'informasi', 'wisata']",kemenparekraf luncurkan tic digital nusantara permudah akses informasi wisata,Kemenparekraf Launches Tic Digital Nusantara Easier Access to Tourism Information
"Sidang Korupsi SPAM Dungingi, eks Kadis PUPR Kota Gorontalo Divonis Bebas",2024-10-15,https://www.hulondalo.id/news/96413742737/sidang-korupsi-spam-dungingi-eks-kadis-pupr-kota-gorontalo-divonis-bebas,Sidang Korupsi SPAM Dungingi  eks Kadis PUPR Kota Gorontalo Divonis Bebas,sidang korupsi spam dungingi  eks kadis pupr kota gorontalo divonis bebas,"['sidang', 'korupsi', 'spam', 'dungingi', 'eks', 'kadis', 'pupr', 'kota', 'gorontalo', 'divonis', 'bebas']","['sidang', 'korupsi', 'spam', 'dungingi', 'eks', 'kadis', 'pupr', 'kota', 'gorontalo', 'divonis', 'bebas']","['sidang', 'korupsi', 'spam', 'dungingi', 'eks', 'kadis', 'pupr', 'kota', 'gorontalo', 'divonis', 'bebas']",sidang korupsi spam dungingi eks kadis pupr kota gorontalo divonis bebas,SPAM Dungingi Corruption Session Former Head of Gorontalo City PUPR Head of PUPR Sentenced to Free
Jumlah Perempuan di DPR RI 2024-2029 Tertinggi Sepanjang Sejarah: 127 Kursi,2024-10-15,https://www.hulondalo.id/politik/96413742671/jumlah-perempuan-di-dpr-ri-2024-2029-tertinggi-sepanjang-sejarah-127-kursi,Jumlah Perempuan di DPR RI   Tertinggi Sepanjang Sejarah   Kursi,jumlah perempuan di dpr ri   tertinggi sepanjang sejarah   kursi,"['jumlah', 'perempuan', 'di', 'dpr', 'ri', 'tertinggi', 'sepanjang', 'sejarah', 'kursi']","['perempuan', 'dpr', 'ri', 'tertinggi', 'sejarah', 'kursi']","['perempuan', 'dpr', 'ri', 'tertinggi', 'sejarah', 'kursi']",perempuan dpr ri tertinggi sejarah kursi,The Highest Parliament Women History of the Chair
Functional training for Senior Indonesian Diplomats Ways,2024-10-14,https://berita.gorontaloprov.go.id/2024/10/14/functional-training-for-senior-indonesian-diplomats-ways-to-promote-gorontalo-abroad/,Functional training for Senior Indonesian Diplomats Ways,functional training for senior indonesian diplomats ways,"['functional', 'training', 'for', 'senior', 'indonesian', 'diplomats', 'ways']","['functional', 'training', 'for', 'senior', 'indonesian', 'diplomats', 'ways']","['functional', 'training', 'for', 'senior', 'indonesian', 'diplomat', 'way']",functional training for senior indonesian diplomat way,Functional Training for Senior Indonesian Diplomat Way
Polda Gorontalo Laksanakan Apel Gelar Pasukan Pengamanan,2024-10-14,https://berita.gorontaloprov.go.id/2024/10/14/polda-gorontalo-laksanakan-apel-gelar-pasukan-pengamanan-pelantikan-presiden/,Polda Gorontalo Laksanakan Apel Gelar Pasukan Pengamanan,polda gorontalo laksanakan apel gelar pasukan pengamanan,"['polda', 'gorontalo', 'laksanakan', 'apel', 'gelar', 'pasukan', 'pengamanan']","['polda', 'gorontalo', 'laksanakan', 'apel', 'gelar', 'pasukan', 'pengamanan']","['polda', 'gorontalo', 'laksanakan', 'apel', 'gelar', 'pasukan', 'pengamanan']",polda gorontalo laksanakan apel gelar pasukan pengamanan,Gorontalo Regional Police held an apple of security forces
BRImo FSTVL 2024: Festival Teknologi dan Hiburan BRI Gaet Generasi Z dan Milenial,2024-10-14,https://www.hulondalo.id/ekbis/96413736929/brimo-fstvl-2024-festival-teknologi-dan-hiburan-bri-gaet-generasi-z-dan-milenial,BRImo FSTVL   Festival Teknologi dan Hiburan BRI Gaet Generasi Z dan Milenial,brimo fstvl   festival teknologi dan hiburan bri gaet generasi z dan milenial,"['brimo', 'fstvl', 'festival', 'teknologi', 'dan', 'hiburan', 'bri', 'gaet', 'generasi', 'z', 'dan', 'milenial']","['brimo', 'fstvl', 'festival', 'teknologi', 'hiburan', 'bri', 'gaet', 'generasi', 'z', 'milenial']","['brimo', 'fstvl', 'festival', 'teknologi', 'hiburan', 'bri', 'gaet', 'generasi', 'z', 'milenial']",brimo fstvl festival teknologi hiburan bri gaet generasi z milenial,Brimo FSTVL BRI Entertainment Technology Festival Gaet Generation Z Millennial
Pengamat Politik Soroti Keakraban Jokowi-Prabowo Jelang Pelantikan: Transisi Pemerintahan Aman,2024-10-14,https://www.hulondalo.id/news/96413736176/pengamat-politik-soroti-keakraban-jokowi-prabowo-jelang-pelantikan-transisi-pemerintahan-aman,Pengamat Politik Soroti Keakraban Jokowi Prabowo Jelang Pelantikan  Transisi Pemerintahan Aman,pengamat politik soroti keakraban jokowi prabowo jelang pelantikan  transisi pemerintahan aman,"['pengamat', 'politik', 'soroti', 'keakraban', 'jokowi', 'prabowo', 'jelang', 'pelantikan', 'transisi', 'pemerintahan', 'aman']","['pengamat', 'politik', 'soroti', 'keakraban', 'jokowi', 'prabowo', 'jelang', 'pelantikan', 'transisi', 'pemerintahan', 'aman']","['pengamat', 'politik', 'soroti', 'keakraban', 'jokowi', 'prabowo', 'jelang', 'pelantikan', 'transisi', 'pemerintahan', 'aman']",pengamat politik soroti keakraban jokowi prabowo jelang pelantikan transisi pemerintahan aman,Political Observers Highlight Jokowi Prabowo's familiarity ahead of the inauguration of a safe government transition
"Jelang Pelantikan Presiden dan Wakil Presiden, Joko Widodo dan Prabowo Bersanding Naik Jip Pinded Cek Pasukan Apel Pengamanan",2024-10-14,https://www.hulondalo.id/news/96413736146/jelang-pelantikan-presiden-dan-wakil-presiden-joko-widodo-dan-prabowo-bersanding-naik-jip-pinded-cek-pasukan-apel-pengamanan,Jelang Pelantikan Presiden dan Wakil Presiden  Joko Widodo dan Prabowo Bersanding Naik Jip Pinded Cek Pasukan Apel Pengamanan,jelang pelantikan presiden dan wakil presiden  joko widodo dan prabowo bersanding naik jip pinded cek pasukan apel pengamanan,"['jelang', 'pelantikan', 'presiden', 'dan', 'wakil', 'presiden', 'joko', 'widodo', 'dan', 'prabowo', 'bersanding', 'naik', 'jip', 'pinded', 'cek', 'pasukan', 'apel', 'pengamanan']","['jelang', 'pelantikan', 'presiden', 'wakil', 'presiden', 'joko', 'widodo', 'prabowo', 'bersanding', 'jip', 'pinded', 'cek', 'pasukan', 'apel', 'pengamanan']","['jelang', 'pelantikan', 'presiden', 'wakil', 'presiden', 'joko', 'widodo', 'prabowo', 'bersanding', 'jip', 'pinded', 'cek', 'pasukan', 'apel', 'pengamanan']",jelang pelantikan presiden wakil presiden joko widodo prabowo bersanding jip pinded cek pasukan apel pengamanan,Ahead of the inauguration of President Vice President Joko Widodo Prabowo side by side jip pinded check the security apple troops
"Soal Wood Pelet, Dinas Pariwisata Tidak Rela Pantai Lalape Hilang",2024-10-14,https://www.hulondalo.id/news/96413735940/soal-wood-pelet-dinas-pariwisata-tidak-rela-pantai-lalape-hilang,Soal Wood Pelet  Dinas Pariwisata Tidak Rela Pantai Lalape Hilang,soal wood pelet  dinas pariwisata tidak rela pantai lalape hilang,"['soal', 'wood', 'pelet', 'dinas', 'pariwisata', 'tidak', 'rela', 'pantai', 'lalape', 'hilang']","['wood', 'pelet', 'dinas', 'pariwisata', 'rela', 'pantai', 'lalape', 'hilang']","['wood', 'pelet', 'dinas', 'pariwisata', 'rela', 'pantai', 'lalape', 'hilang']",wood pelet dinas pariwisata rela pantai lalape hilang,Wood Pellet Tourism Office is willing to be lost
Kanwil Kemenag Gorontalo Bantah Pembebasan Sementara Muflih dari Jabatan Berkaitan dengan Tukin PPPK,2024-10-14,https://www.hulondalo.id/news/96413735523/kanwil-kemenag-gorontalo-bantah-pembebasan-sementara-muflih-dari-jabatan-berkaitan-dengan-tukin-pppk,Kanwil Kemenag Gorontalo Bantah Pembebasan Sementara Muflih dari Jabatan Berkaitan dengan Tukin PPK,kanwil kemenag gorontalo bantah pembebasan sementara muflih dari jabatan berkaitan dengan tukin ppk,"['kanwil', 'kemenag', 'gorontalo', 'bantah', 'pembebasan', 'sementara', 'muflih', 'dari', 'jabatan', 'berkaitan', 'dengan', 'tukin', 'ppk']","['kanwil', 'kemenag', 'gorontalo', 'bantah', 'pembebasan', 'muflih', 'jabatan', 'berkaitan', 'tukin', 'ppk']","['kanwil', 'kemenag', 'gorontalo', 'bantah', 'pembebasan', 'muflih', 'jabatan', 'berkaitan', 'tukin', 'ppk']",kanwil kemenag gorontalo bantah pembebasan muflih jabatan berkaitan tukin ppk,The Regional Office of the Ministry of Religion of Gorontalo denies the exemption of the position of the position related to Tukin PPK
"Lokasi Ujian dan Jadwal Pelaksanaan SKD CPNS 2024, UPT BKN Gorontalo Salah Satunya",2024-10-14,https://www.hulondalo.id/news/96413735270/lokasi-ujian-dan-jadwal-pelaksanaan-skd-cpns-2024-upt-bkn-gorontalo-salah-satunya,Lokasi Ujian dan Jadwal Pelaksanaan SKD CPNS   UPT BKN Gorontalo Salah Satunya,lokasi ujian dan jadwal pelaksanaan skd cpns   upt bkn gorontalo salah satunya,"['lokasi', 'ujian', 'dan', 'jadwal', 'pelaksanaan', 'skd', 'cpns', 'upt', 'bkn', 'gorontalo', 'salah', 'satunya']","['lokasi', 'ujian', 'jadwal', 'pelaksanaan', 'skd', 'cpns', 'upt', 'bkn', 'gorontalo', 'salah', 'satunya']","['lokasi', 'ujian', 'jadwal', 'pelaksanaan', 'skd', 'cpns', 'upt', 'bkn', 'gorontalo', 'salah', 'satunya']",lokasi ujian jadwal pelaksanaan skd cpns upt bkn gorontalo salah satunya,the location of the test schedule for the implementation of SKD CPNS UPT BKN Gorontalo is one of them
